source_name	sequence_id	n-linked-glycosylation-o1	n-linked-glycosylation-o2	n-linked-glycosylation-o3	n-linked-glycosylation-o4	n-linked-glycosylation-o5	n-linked-glycosylation-o6
ncbi-curated-mammalia-b	HQ201955	0	0	0	1	0	1
ncbi-curated-mammalia-b	NM_001024673	0	0	0	0	0	1
ncbi-curated-mammalia-b	NM_001040680	0	0	0	1	0	1
ncbi-curated-mammalia-b	NM_001114853	0	0	0	1	0	1
ncbi-curated-mammalia-b	NM_001142837	0	0	0	1	0	0
ncbi-curated-mammalia-b	NM_001166490	0	0	0	1	0	1
ncbi-curated-mammalia-b	NM_001290171	0	0	0	1	0	0
ncbi-curated-mammalia-b	NM_172138	0	0	0	0	0	0
ncbi-curated-mammalia-b	NM_172140	0	0	0	1	0	0
ncbi-curated-mammalia-b	NM_177396	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_001086865	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_002829197	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_002829198	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_002927388	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_003270380	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_003270381	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_003420833	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_003735566	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_003802138	1	0	0	1	0	0
ncbi-curated-mammalia-b	XM_003802158	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_003915503	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_003943132	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_004060705	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_004388217	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_004396492	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_004430284	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_004481462	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_004617294	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_004636880	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_004636881	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_004636884	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_004687048	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_004710310	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_005589166	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_005589169	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_005589170	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_005596230	0	0	1	1	1	1
