taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	name	gene_id	glycosylation_o1_present	glycosylation_o2_present	glycosylation_o3_present	glycosylation_o4_present	glycosylation_o5_present	glycosylation_o6_present
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/HQ201955	HQ201955	Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	IFNL-Mammal-B	NK_Chiroptera1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/NM_001024673	NM_001024673	Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	IFNL-Mammal-B	Placental2_Rodent1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/NM_001290171	NM_001290171	Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	IFNL-Mammal-B	NK_Chiroptera2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL-Mammal-B	Mammal	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/NM_172138	NM_172138	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL-Mammal-B	Placental2_Haplorhine1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/NM_177396	NM_177396	Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	IFNL-Mammal-B	Placental2_Rodent1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_001086865	XM_001086865	Macaca mulatta	Euarchontoglires	Primates	Cercopithecidae	Macaca	IFNL-Mammal-B	NK_Haplorhine1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_002829197	XM_002829197	Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	IFNL-Mammal-B	Placental2_Haplorhine1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_002927388	XM_002927388	Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	IFNL-Mammal-B	NK_Carnivore1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_003270381	XM_003270381	Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	IFNL-Mammal-B	Placental2_Haplorhine1	-	-	-	-	-	-
