taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1	glycosylation_o2	glycosylation_o3	glycosylation_o4	glycosylation_o5	glycosylation_o6
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/HQ201955	HQ201955	Pteropus alecto	HQ201955/Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001024673	NM_001024673	Mus musculus	NM_001024673/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001040680	NM_001040680	Felis catus	NM_001040680/Felis catus	Laurasiatheria	Carnivora	Felidae	Felis	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001114853	NM_001114853	Canis lupus familiaris	NM_001114853/Canis lupus familiaris	Laurasiatheria	Carnivora	Canidae	Canis	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001142837	NM_001142837	Sus scrofa	NM_001142837/Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001166490	NM_001166490	Sus scrofa	NM_001166490/Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001290171	NM_001290171	Pteropus alecto	NM_001290171/Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Placental1_Chiroptera-6.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	NM_001346937/Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_172138	NM_172138	Homo sapiens	NM_172138/Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_172140	NM_172140	Homo sapiens	NM_172140/Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	Placental1_Haplorhine-1.1	-	-	-	-	-	-
