taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_IFNL_MAMMAL_A/member/fasta-curated/IFNLa_Mammal_Hsa.Psi	IFNLa_Mammal_Hsa.Psi	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-refseqs/NM_001276254	NM_001276254	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/NM_001276259	NM_001276259	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_004396490	XM_004396490	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_004396491	XM_004396491	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_004595181	XM_004595181	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_004617296	XM_004617296	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_004636883	XM_004636883	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_004710487	XM_004710487	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_005219126	XM_005219126	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_005219127	XM_005219127	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_005336481	XM_005336481	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_006878034	XM_006878034	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_006911731	XM_006911731	-	-	-	-	-	-	-	-	-	-	-	-	-	-
