taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/NM_001040680	NM_001040680	Felis catus	Laurasiatheria	Carnivora	Felidae	Felis	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/NM_001114853	NM_001114853	Canis lupus familiaris	Laurasiatheria	Carnivora	Canidae	Canis	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/NM_001142837	NM_001142837	Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/NM_001166490	NM_001166490	Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/NM_001290171	NM_001290171	Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/NM_172140	NM_172140	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_002711467	XM_002711467	Oryctolagus cuniculus	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_003735566	XM_003735566	Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_003802138	XM_003802138	Otolemur garnettii	Euarchontoglires	Primates	Galagidae	Otolemur	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004388217	XM_004388217	Trichechus manatus	Afrotheria	Sirenia	Trichechidae	Trichechus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_004430284	XM_004430284	Ceratotherium simum	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004481462	XM_004481462	Dasypus novemcinctus	Xenarthra	Cingulata	Dasypodidae	Dasypus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004595092	XM_004595092	Ochotona princeps	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004687048	XM_004687048	Condylura cristata	Laurasiatheria	Insectivora	Talpidae	Condylura	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_004710310	XM_004710310	Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_004710488	XM_004710488	Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_005886334	XM_005886334	Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_006871441	XM_006871441	Chrysochloris asiatica	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_006941288	XM_006941288	Felis catus	Laurasiatheria	Carnivora	Felidae	Felis	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_007524026	XM_007524026	Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_007945560	XM_007945560	Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	IFNL	Mammal	1	rtg	2	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_007958477	XM_007958477	Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_008057587	XM_008057587	Carlito syrichta	Euarchontoglires	Primates	Tarsiidae	Tarsius	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_008854037	XM_008854037	Nannospalax galili	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_011225064	XM_011225064	Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_011234942	XM_011234942	Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_011952424	XM_011952424	Colobus angolensis palliatus	Euarchontoglires	Primates	Cercopithecidae	Colobus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_012657018	XM_012657018	Propithecus coquereli	Euarchontoglires	Primates	Indriidae	Propithecus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_013077381	XM_013077381	Heterocephalus glaber	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	IFNL	Mammal	1	canonical	2	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_014117025	XM_014117025	Canis lupus	Laurasiatheria	Carnivora	Canidae	Canis	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_014541703	XM_014541703	Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_014587715	XM_014587715	Tupaia chinensis	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_014732932	XM_014732932	Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_014832969	XM_014832969	Equus asinus	Laurasiatheria	Perissodactyla	Equidae	Equus	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_015123826	XM_015123826	Macaca mulatta	Euarchontoglires	Primates	Cercopithecidae	Macaca	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_016166772	XM_016166772	Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_016209157	XM_016209157	Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_016934446	XM_016934446	Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_017503063	XM_017503063	Cebus capucinus	Euarchontoglires	Primates	Cebidae	Cebus	IFNL	Mammal	1	canonical	2	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_017651898	XM_017651898	Manis javanica	Laurasiatheria	Pholidota	Manidae	Manis	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_017656413	XM_017656413	Manis javanica	Laurasiatheria	Pholidota	Manidae	Manis	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_021210483	XM_021210483	Mus pahari	Euarchontoglires	Rodentia	Muridae	Mus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_023585477	XM_023585477	Dasypus novemcinctus	Xenarthra	Cingulata	Dasypodidae	Dasypus	IFNL	Mammal	1	canonical	-	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_023626728	XM_023626728	Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNLb_MAMMAL1/member/ncbi-curated/XM_024577416	XM_024577416	Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	IFNL	Mammal	1	canonical	-	-	-	-	-
