taxon	sequenceID	organism	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	duplicate_numeric_id	combined
alignment/AL_IFNLa_MAMMAL/member/fasta-refseqs/IFNLA_Psi_Hsa	IFNLA_Psi_Hsa	Homo sapiens	IFNL	Mammal	-	psi	1	1	IFNLA_Psi_Hsa/Homo sapiens/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/NM_001276254	NM_001276254	Homo sapiens	IFNL	Mammal	-	-	-	-	NM_001276254/Homo sapiens/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_004396490	XM_004396490	Odobenus rosmarus divergens	IFNL	Mammal	-	-	-	-	XM_004396490/Odobenus rosmarus divergens/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_004617296	XM_004617296	Sorex araneus	IFNL	Mammal	-	-	-	-	XM_004617296/Sorex araneus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_004636883	XM_004636883	Octodon degus	IFNL	Mammal	-	-	-	-	XM_004636883/Octodon degus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_005219127	XM_005219127	Bos taurus	IFNL	Mammal	-	-	-	-	XM_005219127/Bos taurus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_005336481	XM_005336481	Ictidomys tridecemlineatus	IFNL	Mammal	-	-	-	-	XM_005336481/Ictidomys tridecemlineatus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_007180046	XM_007180046	Balaenoptera acutorostrata scammoni	IFNL	Mammal	-	-	-	-	XM_007180046/Balaenoptera acutorostrata scammoni/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_007180047	XM_007180047	Balaenoptera acutorostrata scammoni	IFNL	Mammal	-	-	-	-	XM_007180047/Balaenoptera acutorostrata scammoni/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_007524025	XM_007524025	Erinaceus europaeus	IFNL	Mammal	-	-	-	-	XM_007524025/Erinaceus europaeus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_007660152	XM_007660152	Ornithorhynchus anatinus	IFNL	Mammal	-	-	-	-	XM_007660152/Ornithorhynchus anatinus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_008257170	XM_008257170	Oryctolagus cuniculus	IFNL	Mammal	-	-	-	-	XM_008257170/Oryctolagus cuniculus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_008964650	XM_008964650	Pan paniscus	IFNL	Mammal	-	-	-	-	XM_008964650/Pan paniscus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_008964691	XM_008964691	Pan paniscus	IFNL	Mammal	-	-	-	-	XM_008964691/Pan paniscus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_008987976	XM_008987976	Callithrix jacchus	IFNL	Mammal	-	-	-	-	XM_008987976/Callithrix jacchus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_010600326	XM_010600326	Loxodonta africana	IFNL	Mammal	-	-	-	-	XM_010600326/Loxodonta africana/IFNL/Mammal/-/-/}
