taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/HQ201955	HQ201955	Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	IFNL	Mammal	2	-	2	FALSE	TRUE	TRUE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_001024673	NM_001024673	Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	IFNL	Mammal	2	-	2	TRUE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_172138	NM_172138	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	2	-	1	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_177396	NM_177396	Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	IFNL	Mammal	2	-	2	TRUE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_001086865	XM_001086865	Macaca mulatta	Euarchontoglires	Primates	Cercopithecidae	Macaca	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_002927388	XM_002927388	Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_003420833	XM_003420833	Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_003802158	XM_003802158	Otolemur garnettii	Euarchontoglires	Primates	Galagidae	Otolemur	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_004396492	XM_004396492	Odobenus rosmarus	Laurasiatheria	Carnivora	Odobenidae	Odobenus	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_004617293	XM_004617293	Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_004617294	XM_004617294	Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_004636880	XM_004636880	Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_004636881	XM_004636881	Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_004636884	XM_004636884	Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	IFNL	Mammal	2	-	2	TRUE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_004710311	XM_004710311	Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_005596230	XM_005596230	Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	IFNL	Mammal	2	-	2	FALSE	FALSE	TRUE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_005886332	XM_005886332	Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	2	-	2	FALSE	TRUE	TRUE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_005886333	XM_005886333	Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	2	-	1	FALSE	TRUE	TRUE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_006096748	XM_006096748	Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	2	-	1	FALSE	TRUE	TRUE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_006140390	XM_006140390	Tupaia chinensis	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	IFNL	Mammal	2	-	2	FALSE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_006540121	XM_006540121	Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	IFNL	Mammal	2	-	1	TRUE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_006540130	XM_006540130	Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	IFNL	Mammal	2	-	2	TRUE	TRUE	FALSE	TRUE
alignment/AL_IFNLb_MAMMAL2/member/ncbi-curated/XM_006761471	XM_006761471	Myotis davidii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	2	-	1	FALSE	TRUE	TRUE	TRUE
