taxon	sequenceID	organism	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	duplicate_numeric_id	combined
alignment/AL_IFNLb_MAMMAL1/member/fasta-refseqs/IFNLB1_Psi_Hsa	IFNLB1_Psi_Hsa	Homo sapiens	IFNL	Mammal	1	psi	1	1	IFNLB1_Psi_Hsa/Homo sapiens/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/NM_001142837	NM_001142837	Sus scrofa	IFNL	Mammal	1	rtg	1	1	NM_001142837/Sus scrofa/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/NM_001166490	NM_001166490	Sus scrofa	IFNL	Mammal	1	-	-	-	NM_001166490/Sus scrofa/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/NM_172140	NM_172140	Homo sapiens	IFNL	Mammal	1	-	-	-	NM_172140/Homo sapiens/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_002711467	XM_002711467	Oryctolagus cuniculus	IFNL	Mammal	1	-	-	-	XM_002711467/Oryctolagus cuniculus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_003735566	XM_003735566	Callithrix jacchus	IFNL	Mammal	1	-	-	-	XM_003735566/Callithrix jacchus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_003802138	XM_003802138	Otolemur garnettii	IFNL	Mammal	1	-	-	-	XM_003802138/Otolemur garnettii/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004388217	XM_004388217	Trichechus manatus	IFNL	Mammal	1	-	-	-	XM_004388217/Trichechus manatus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004481462	XM_004481462	Dasypus novemcinctus	IFNL	Mammal	1	-	-	-	XM_004481462/Dasypus novemcinctus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004595092	XM_004595092	Ochotona princeps	IFNL	Mammal	1	-	-	-	XM_004595092/Ochotona princeps/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_004687048	XM_004687048	Condylura cristata	IFNL	Mammal	1	rtg	1	1	XM_004687048/Condylura cristata/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_005886334	XM_005886334	Myotis brandtii	IFNL	Mammal	1	rtg	1	1	XM_005886334/Myotis brandtii/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_006871441	XM_006871441	Chrysochloris asiatica	IFNL	Mammal	1	-	-	-	XM_006871441/Chrysochloris asiatica/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_006941288	XM_006941288	Felis catus	IFNL	Mammal	1	-	-	-	XM_006941288/Felis catus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_007524026	XM_007524026	Erinaceus europaeus	IFNL	Mammal	1	-	-	-	XM_007524026/Erinaceus europaeus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_007945560	XM_007945560	Orycteropus afer	IFNL	Mammal	1	rtg	1	1	XM_007945560/Orycteropus afer/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_007958477	XM_007958477	Orycteropus afer	IFNL	Mammal	1	-	-	-	XM_007958477/Orycteropus afer/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_008057587	XM_008057587	Carlito syrichta	IFNL	Mammal	1	-	-	-	XM_008057587/Carlito syrichta/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_008854037	XM_008854037	Nannospalax galili	IFNL	Mammal	1	-	-	-	XM_008854037/Nannospalax galili/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_011225064	XM_011225064	Ailuropoda melanoleuca	IFNL	Mammal	1	rtg	1	1	XM_011225064/Ailuropoda melanoleuca/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_011234942	XM_011234942	Ailuropoda melanoleuca	IFNL	Mammal	1	-	-	-	XM_011234942/Ailuropoda melanoleuca/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_012657018	XM_012657018	Propithecus coquereli	IFNL	Mammal	1	-	-	-	XM_012657018/Propithecus coquereli/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_013077381	XM_013077381	Heterocephalus glaber	IFNL	Mammal	1	-	-	-	XM_013077381/Heterocephalus glaber/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_014587715	XM_014587715	Tupaia chinensis	IFNL	Mammal	1	-	-	-	XM_014587715/Tupaia chinensis/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_014732932	XM_014732932	Equus caballus	IFNL	Mammal	1	-	-	-	XM_014732932/Equus caballus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_015123826	XM_015123826	Macaca mulatta	IFNL	Mammal	1	-	-	-	XM_015123826/Macaca mulatta/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_016166772	XM_016166772	Rousettus aegyptiacus	IFNL	Mammal	1	-	-	-	XM_016166772/Rousettus aegyptiacus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_017503063	XM_017503063	Cebus capucinus	IFNL	Mammal	1	-	-	-	XM_017503063/Cebus capucinus/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_017651898	XM_017651898	Manis javanica	IFNL	Mammal	1	rtg	1	1	XM_017651898/Manis javanica/IFNL/Mammal/1/1/}
alignment/AL_IFNLb_MAMMAL1/member/ncbi-refseqs/XM_017656413	XM_017656413	Manis javanica	IFNL	Mammal	1	-	-	-	XM_017656413/Manis javanica/IFNL/Mammal/1/1/}
