id	GeneID	Clade	Species	full_name	Class	Superorder	Order	Family	Genus	Protein_accession	Ref
NM_001171763	AMPH										
XM_025202241	REPTILE1										
XM_025186888	REPTILE2										
XM_026646209	REPTILE2										
XM_014607441	REPTILE2										
NM_001310792	AVES				Aves						
XM_005501688	AVES				Aves						
XM_003207378	AVES				Aves						
XM_023585477	MAMM	Xenarthra	Dasypus novemcinctus	Placental-2-Xenarthra	Mammalia	Xenarthra	Cingulata	Dasypodidae	Dasypus	XP_023441245.1 	xX
XM_013077381	MAMM	?-Rodentia	Heterocephalus glaber	Placental-?-Rodentia	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	XM_013077381	
XM_028859190	MAMM	?-Rodentia	Peromyscus leucopus	Placental-?-Rodentia	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Peromyscus	XP_028715023.1 	
XM_008854037	MAMM	?-Rodentia	Nannospalax galili	Placental-?-Rodentia	Mammalia	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	XP_008852259.1	
XM_006941288	MAMM1	Carnivora	Felis catus	Placental-1-Carnivora	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis	XM_006941288	
XM_011234942	MAMM1	Carnivora	Ailuropoda melanoleuca	Placental-1-Carnivora	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_011233244.1 	xL
XM_028165960	MAMM1	Cetacea	Balaenoptera acutorostrata	Placental-1-Cetacea	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	XP_028021761.1	
XM_028529999	MAMM1	Chiroptera	Phyllostomus discolor	Placental-1-Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Phyllostomus	XP_028385800.1 	
XM_016166772	MAMM1	Chiroptera	Rousettus aegyptiacus	Placental-1-Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	XP_016022258.1 	
XM_004481462	MAMM1	Dasypodidae	Dasypus novemcinctus	Placental-1-Dasypodidae	Mammalia	Xenarthra	Cingulata	Dasypodidae	Dasypus	XP_004481519.1	xX
XM_007524026	MAMM1	Insectivora	Erinaceus europaeus	Placental-1-Insectivora	Mammalia	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	XP_007524088.1	
XM_002711467	MAMM1	Lagomorpha	Oryctolagus cuniculus	Placental-1-Lagomorpha	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	XP_002711513.1	
XM_014732932	MAMM1	Perissodactyla	Equus caballus	Placental-1-Perissodactyla	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	XP_014588418.2 	
XM_017656413	MAMM1	Pholidota	Manis javanica	Placental-1-Pholidota	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis	XP_017511902.1 	
XM_003735566	MAMM1	Primates	Callithrix jacchus	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Cebidae	Callithrix	XP_003735614.2	
XM_017503063	MAMM1	Primates	Cebus capucinus	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Cebidae	Cebus	XM_017503063	
XM_015123826	MAMM1	Primates	Macaca mulatta	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca	XP_014979312.1	
XM_003802138	MAMM1	Primates	Otolemur garnettii	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Galagidae	Otolemur	XP_003802186.1	
NM_172140	MAMM1	Primates	Homo sapiens	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Homo	NM_172140.1	xE
IFNLB1_Psi_Hsa	MAMM1	Primates	Homo sapiens	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Homo	NULL	
XM_012657018	MAMM1	Primates	Propithecus coquereli	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Indriidae	Propithecus	XM_012657018	
XM_008057587	MAMM1	Primates	Carlito syrichta	Placental-1-Primates	Mammalia	Euarchontoglires	Primates	Tarsiidae	Tarsius	XP_008055778.1	
XM_014587715	MAMM1	Scandentia	Tupaia chinensis	Placental-1-Scandentia	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	XP_014443201.2	
XM_004388217	MAMM1	Sirenia	Trichechus manatus	Placental-1-Sirenia	Mammalia	Afrotheria	Sirenia	Trichechidae	Trichechus	XP_004388274.1	
XM_007958477	MAMM1	Tubulidentata	Orycteropus afer	Placental-1-Tubulidentata	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	XP_007956668.1	xA
XM_011225064	MAMM1_rtg	Laurasiatheria-rtg	Ailuropoda melanoleuca	Placental-1-Laurasiatheria-rtg	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_011223366.1 	xL
retroIFNL3	MAMM1_rtg	?-Chiroptera	Myotis lucifugus	iPlacental-2-Myotis-rtg	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	NW_005871296.1	
XM_005886334	MAMM1_rtg	Myotis-rtg	Myotis brandtii	Placental-2-Myotis-rtg	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	XM_005886334.2	
XM_004687048	MAMM1_rtg	Laurasiatheria-rtg	Condylura cristata	Placental-1-Laurasiatheria-rtg	Mammalia	Laurasiatheria	Insectivora	Talpidae	Condylura	XP_004687105.1 	
XM_023626728	MAMM1_rtg	Laurasiatheria-rtg	Equus caballus	Placental-1-Laurasiatheria-rtg	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	XP_023482496.1	
retroIFNL1a	MAMM1_rtg	Laurasiatheria-rtg	Ceratotherium	Placental-1-Laurasiatheria-rtg	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	NULL	
XM_017651898	MAMM1_rtg	Laurasiatheria-rtg	Manis javanica	Placental-1-Laurasiatheria-rtg	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis	XP_017507387.1	
XM_007945560	MAMM1_rtg	Tubulidentata-rtg	Orycteropus afer	Placental-1-Tubulidentata-rtg	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	XP_007943751.1	xA
